DISTRITO;SECCION;CLAVE;SIGLA;NOMBRE;NUMERO;BARRIADA;CAT_FISCAL;C_POSTAL
5;7;11000;CTRA;ACCESO A LA CARCEL;ENTERA;BDA. SAN JOSE;C;51002
3;13;1900;CALLE;ACICATENA;ENTERA;BDA. CAMPO EXTERIOR;C;51002
2;4;8700;CITO;ACUARTELAMIENTO TENIENTE RUIZ;ENTERA;;B;51001
4;1;55105;CALLE;ADORATRICES;ENTERA;BDA. OTERO;C;51002
1;1;31500;PLAZA;AFRICA;ENTERA;;A;51001
4;7;35400;PSAJE;AFRICA;ENTERA;BDA. ESPAÑA;D;51002
3;1;2401;AVDA;AFRICA (DE);1 AL 9;BDA. PUERTAS DEL CAMPO;B;51001
3;6;2402;AVDA;AFRICA (DE);11 AL 23;BDA. PUERTAS DEL CAMPO;B;51002
3;8;2403;AVDA;AFRICA (DE);26 AL FIN;BDA. SAN JOSE;B;51002
3;9;2404;AVDA;AFRICA (DE);2 AL 14;BDA. PUERTAS DEL CAMPO;B;51002
3;5;2405;AVDA;AFRICA (DE);16 AL 24;BDA. PUERTAS DEL CAMPO;B;51002
3;14;2406;AVDA;AFRICA (DE);25 AL FIN;BDA. PUERTAS DEL CAMPO;B;51002
6;4;4700;CALLE;AGRUPACION CENTRAL;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;2;5000;CALLE;AGRUPACION ESTE;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;4;4900;CALLE;AGRUPACION FUERTE;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
3;3;20702;CJTO;AGRUPACION LOGISTICA;ENTERA;BDA. OTERO;C;51002
6;4;5100;CALLE;AGRUPACION NORTE;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;2;4800;CALLE;AGRUPACION SUR;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
1;2;5700;LUGAR;AGUJERO BOQ.SARDINA;ENTERA;;A;51001
1;7;55104;CALLE;AGUSTIN MUÑOZ VAZQUEZ;ENTERA;;C;51001
1;8;700;CALLE;AGUSTINA DE ARAGON;ENTERA;;B;51001
6;3;5801;LUGAR;ALBERGUES AYUNTAMIENTO;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;3;43702;CALLE;ALBERTO IBAÑEZ TRUJILLO;ENTERA;BDA. PRINCIPE FELIPE;E;51003
2;5;54400;CALLE;ALCALA DEL VALLE;ENTERA;BDA. VIRGEN DEL VALLE;C;51005
2;1;8010;CALLE;ALCALDE ALFONSO SOTELO AZORIN;ENTERA;;C;51001
1;7;55100;CALLE;ALCALDE CLEMENTE CALVO PECINO;ENTERA;;B;51001
3;13;1920;CALLE;ALCALDE ENRIQUE GARCIA PONCE;ENTERA;BDA. CAMPO EXTERIOR;C;51002
1;5;19700;CALLE;ALCALDE FRUCTUOSO MIAJA SANCHEZ;IMPARES;;C;51001
1;8;19701;CALLE;ALCALDE FRUCTUOSO MIAJA SANCHEZ;PARES;;C;51001
5;7;14500;CALLE;ALCALDE JOAQ. GARCIA DE LA TORRE;ENTERA;BDA. SAN JOSE;D;51002
1;1;200;AVDA;ALCALDE JOSE VICTORI GOÑALONS;PARES;;A;51001
1;2;201;AVDA;ALCALDE JOSE VICTORI GOÑALONS;IMPARES;;A;51001
3;13;1915;CALLE;ALCALDE RICARDO CERNI GONZALEZ;ENTERA;BDA. CAMPO EXTERIOR;C;51002
1;3;32050;PLAZA;ALCALDE RICARDO MUÑOZ RODRIGUEZ;ENTERA;;A;51001
1;1;7801;PASEO;ALCALDE SANCHEZ PRADOS;ENTERA;;A;51001
1;9;27201;PLAZA;ALFAU;ENTERA;;B;51001
1;9;800;CALLE;ALFAU;ENTERA;;C;51001
1;7;21800;GRUP;ALFAU;ENTERA;;C;51001
1;10;28100;MUELL;ALFAU;ENTERA;;C;51001
1;2;400;CALLE;ALFEREZ BAYTON;ENTERA;;B;51001
4;6;2900;CALLE;ALFEREZ DE LA RUBIA;ENTERA;BDA. SAN JOSE;D;51002
3;1;4100;CALLE;ALFEREZ PROVISIONAL;ENTERA;BDA. PUERTAS DEL CAMPO;D;51001
4;3;5300;CALLE;ALFONSO VIII;ENTERA;BDA. TERRONES;D;51002
1;8;51500;CALLE;ALGECIRAS;PARES;;B;51001
1;3;51501;CALLE;ALGECIRAS;IMPARES;;B;51001
2;2;32900;PSAJE;ALHAMBRA;ENTERA;;C;51001
4;11;46501;CTRA;ALMADRABA;1 AL 9;BDA. ALMADRABA;B;51002
4;11;46502;CTRA;ALMADRABA;2 AL 68;BDA. ALMADRABA;B;51002
6;3;51300;CTRA;ALMADRABA;11 AL FIN;BDA. ALMADRABA;B;51002
6;3;51301;CTRA;ALMADRABA;70 AL FIN;BDA. ALMADRABA;B;51002
4;8;4400;CALLE;ALMERIA;ENTERA;BDA. ESPAÑA;C;51002
1;7;1000;CALLE;ALMIRANTE LOBO;ENTERA;;C;51001
3;7;4300;CALLE;ALONSO DE OJEDA;ENTERA;BDA. O'DONNELL;D;51002
5;1;20601;CALLE;ALTA;ENTERA;BDA. LA LIBERTAD;C;51002
2;5;1100;CALLE;ALTO DE LAS HERAS;ENTERA;;C;51005
2;2;900;CALLE;ALVAREZ;ENTERA;;C;51001
1;4;600;CALLE;AMARGURA;ENTERA;;C;51001
4;6;37000;PSAJE;ANAYA;ENTERA;BDA. SAN JOSE;D;51002
4;7;5500;CALLE;ANDALUCIA;ENTERA;BDA. ESPAÑA;D;51002
3;6;55109;CALLE;ANDRES DEL RIO ABAURRENA;ENTERA;;D;0
4;11;54040;CALLE;ANGEL RUIZ LILLO;ENTERA;BDA. PRINCIPE ALFONSO;C;51003
6;2;5402;LUGAR;ANGULO;ENTERA;BDA. PRINCIPE ALFONSO;B;51003
3;1;5400;LUGAR;ANGULO-AV.S.F.JAVIER;ENTERA;BDA. PUERTAS DEL CAMPO;B;51001
3;11;1500;LUGAR;ANTIGUA ESTACION FERROCARRIL;ENTERA;BDA. PUERTAS DEL CAMPO;D;51001
1;3;500;CALLE;ANTIOCO;ENTERA;;B;51001
2;7;55136;CALLE;ANTONIA CESPEDES GALLEGO;ENTERA;BDA. SARCHAL;C;0
4;6;44820;CALLE;ANTONIO PARRADO GIL;ENTERA;BDA. SAN JOSE;C;51002
6;3;4500;LUGAR;ARCOS QUEBRADOS;ENTERA;BDA. CAMPO EXTERIOR;E;51003
4;6;3000;CALLE;ARGENTINA;1 AL 9;BDA. SAN JOSE;C;51002
4;10;3001;CALLE;ARGENTINA;2 AL 60;BDA. SAN JOSE;C;51002
4;7;3002;CALLE;ARGENTINA;11 AL FIN;BDA. SAN JOSE;C;51002
4;7;3003;CALLE;ARGENTINA;62 AL FIN;BDA. SAN JOSE;C;51002
3;13;1925;CALLE;ARQUITECTO JAIME ANTON-PACHECO;ENTERA;BDA. CAMPO EXTERIOR;C;51002
6;3;3700;CMNO;ARROYO DE LAS BOMBAS;ENTERA;BDA. CAMPO EXTERIOR;E;51003
4;1;28700;CJTO;ARTILLERIA (CUARTEL);ENTERA;BDA. TERRONES;B;51002
4;1;28701;GRUP;ARTILLERIA (PABELLONES);ENTERA;BDA. TERRONES;C;51002
2;5;8500;CJTO;ARTILLERIA (PARQUE);ENTERA;;C;51001
3;3;9700;CJTO;AUTOMOVILISMO (CUARTEL);ENTERA;BDA. OTERO;C;51002
3;4;49300;POLIG;AVENIDA DE AFRICA;5 AL 9;BDA. PUERTAS DEL CAMPO;B;51001
3;5;49301;POLIG;AVENIDA DE AFRICA;20 AL 24;BDA. PUERTAS DEL CAMPO;B;51002
3;4;49302;POLIG;AVENIDA DE AFRICA;4 AL 8;BDA. PUERTAS DEL CAMPO;B;51001
3;4;49303;POLIG;AVENIDA DE AFRICA;39 AL FIN;BDA. PUERTAS DEL CAMPO;B;51001
3;4;49304;POLIG;AVENIDA DE AFRICA;40 AL FIN;BDA. PUERTAS DEL CAMPO;B;51001
3;5;49305;POLIG;AVENIDA DE AFRICA;1 AL 3;BDA. PUERTAS DEL CAMPO;B;51002
3;5;49306;POLIG;AVENIDA DE AFRICA;2;BDA. PUERTAS DEL CAMPO;B;51002
3;5;49307;POLIG;AVENIDA DE AFRICA;21 AL 23;BDA. PUERTAS DEL CAMPO;B;51002
3;9;49308;POLIG;AVENIDA DE AFRICA;11 AL 19;BDA. PUERTAS DEL CAMPO;B;51001
3;9;49309;POLIG;AVENIDA DE AFRICA;10 AL 18;BDA. PUERTAS DEL CAMPO;B;51001
3;10;49310;POLIG;AVENIDA DE AFRICA;28 AL 38;BDA. PUERTAS DEL CAMPO;B;51002
3;10;49311;POLIG;AVENIDA DE AFRICA;27 AL 37;BDA. PUERTAS DEL CAMPO;B;51002
3;8;49312;POLIG;AVENIDA DE AFRICA;25;BDA. PUERTAS DEL CAMPO;B;51002
3;8;49313;POLIG;AVENIDA DE AFRICA;26;BDA. PUERTAS DEL CAMPO;B;51002
